country,happiness,gdp,family,liefeexpectancy,trust
Finland,7.808700084686279,10.639266967773438,1.4995259046554563,0.9612714052200316,0.4778572618961334
Denmark,7.645599842071533,10.774001121520996,1.5034492015838623,0.9793325662612916,0.4952603280544281
Switzerland,7.559899806976318,10.97993278503418,1.4724034070968628,1.040533185005188,0.4079459011554718
Iceland,7.504499912261963,10.77255916595459,1.5475674867630005,1.0008434057235718,0.14454077184200287
Norway,7.48799991607666,11.087803840637209,1.4951725006103516,1.0080718994140625,0.43410056829452515
Netherlands,7.44890022277832,10.812711715698242,1.4636459350585938,0.9756753444671632,0.3685697615146637
Sweden,7.353499889373779,10.758793830871582,1.4333477020263672,0.9864704608917236,0.44206637144088745
New Zealand,7.299600124359131,10.500943183898926,1.4872183799743652,1.0081382989883425,0.46126827597618103
Austria,7.29419994354248,10.742823600769045,1.4374449253082275,1.0009335279464722,0.28125613927841187
Luxembourg,7.237500190734863,11.45068073272705,1.387528419494629,0.9864426851272584,0.3670414686203003
Canada,7.232100009918213,10.692368507385254,1.435391902923584,1.0225019454956057,0.35170185565948486
Australia,7.222799777984619,10.720596313476562,1.4771462678909302,1.022607684135437,0.3359964191913605
United Kingdom,7.1645002365112305,10.60013484954834,1.4578449726104736,0.9757000803947448,0.32260164618492126
Israel,7.128600120544434,10.417525291442873,1.4032567739486694,1.008052945137024,0.09989845007658003
Costa Rica,7.121399879455566,9.658156394958496,1.3748536109924316,0.9396353363990784,0.09636209160089491
Ireland,7.093699932098389,11.160978317260742,1.470596432685852,0.9756706953048706,0.37343326210975647
Germany,7.075799942016602,10.732818603515623,1.3685437440872192,0.9721148014068604,0.3093622922897339
United States,6.939599990844727,10.925768852233888,1.4047867059707642,0.8316180109977722,0.15228474140167236
Czech Republic,6.910900115966797,10.404163360595703,1.40528666973114,0.8945644497871399,0.0498032234609127
Belgium,6.863500118255615,10.673639297485352,1.3986775875091553,0.9649011492729188,0.20872405171394348
United Arab Emirates,6.790800094604492,11.10999870300293,1.251170992851257,0.7878144383430481,0.22021351754665375
Malta,6.772799968719482,10.533838272094728,1.4429569244384766,0.9720420241355896,0.17886407673358917
France,6.66379976272583,10.584222793579102,1.4588391780853271,1.0297142267227173,0.22730323672294617
Mexico,6.465000152587891,9.797797203063965,1.226333498954773,0.8316010236740112,0.08313366770744324
Taiwan Province of China,6.455399990081787,10.77568531036377,1.357760667800903,0.8784379959106445,0.13151635229587555
Uruguay,6.440100193023682,9.948192596435549,1.4250811338424685,0.8569288849830627,0.19342507421970367
Saudi Arabia,6.406499862670898,10.797812461853027,1.3099501132965088,0.7598181366920471,0.163322314620018
Spain,6.400899887084961,10.462926864624023,1.4210991859436035,1.0513430833816528,0.10957977920770644
Guatemala,6.398900032043457,8.924805641174316,1.174267053604126,0.7059525847434998,0.09836030006408691
Italy,6.387400150299072,10.481836318969728,1.3472959995269775,1.0225049257278442,0.04014559835195541
Singapore,6.377099990844727,11.39552116394043,1.3954569101333618,1.1378142833709717,0.5331622362136841
Brazil,6.3755998611450195,9.566434860229492,1.363464117050171,0.7661190629005432,0.10651860386133194
Slovenia,6.363399982452393,10.392322540283203,1.4646776914596558,0.9325480461120604,0.07651632279157639
El Salvador,6.348299980163574,8.909075736999512,1.149397611618042,0.7527300119400024,0.11703035235404968
Kosovo,6.325200080871582,9.204429626464844,1.1839628219604492,0.6727091670036316,0.00855902396142482
Panama,6.304800033569336,10.034234046936035,1.376149296760559,0.8785465359687805,0.05423052608966827
